country,candy,sales
CHN,peanut butter pops,4394381
TUR,butter cookies,2546638
ITA,white chocolate bar,8709409
ITA,caramel popcorn,529363
SAU,chocolate cookies,7528684
ITA,dark chocolate bar,2792886
RUS,chocolate cookies,9269265
ITA,chocolate bar,8065611
FRA,blueberry bubblegum,6282291
ARE,lollipops,3416273
TUR,peanut butter pops,2459511
CHN,white chocolate bar,1582793
IND,chocolate cookies,6011695
MEX,chocolate bar,7155589
CHN,chocolate cookies,9268078
ITA,lollipops,1622017
MEX,caramel popcorn,4374963
TUR,peanut butter pops,1342477
ITA,gummy bears,4794484
USA,chocolate cookies,2978616
IND,dark chocolate bar,272306
MEX,gummy bears,8619489
GBR,peanut butter pops,101043
TUR,white chocolate bar,3476791
CAN,gummy bears,7997239
MEX,dark chocolate bar,9425687
BRA,chocolate cookies,8823964
FRA,gummy bears,2790110
FRA,butter cookies,1618881
SAU,butter cookies,9803833
GBR,chocolate cookies,5908889
CAN,lollipops,7172158
RUS,dark chocolate bar,2634039
FRA,chocolate cookies,718905
ITA,dark chocolate bar,3278669
IND,blueberry bubblegum,741238
ITA,caramel popcorn,2314598
BRA,white chocolate bar,3135653
RUS,caramel popcorn,7272989
USA,lollipops,7615786
IND,caramel popcorn,6791670
BRA,chocolate bar,9405440
RUS,chocolate bar,5303324
FRA,blueberry bubblegum,9863860
GBR,chocolate bar,2690312
TUR,blueberry bubblegum,4443799
CHN,chocolate cookies,8384644
CHN,chocolate cookies,1756759
FRA,blueberry bubblegum,4491754
USA,gummy bears,6169743
DEU,white chocolate bar,9128964
FRA,lollipops,7324840
FRA,lollipops,1064768
ARE,lollipops,289221
MEX,peanut butter pops,9535057
BRA,chocolate bar,7609847
TUR,chocolate cookies,3300230
ITA,dark chocolate bar,1649693
DEU,gummy bears,8335626
CHN,butter cookies,5013937
DEU,caramel popcorn,2793939
IND,peanut butter pops,6656050
FRA,dark chocolate bar,1611408
ARE,lollipops,6789909
RUS,caramel popcorn,5560985
IND,lollipops,5563717
DEU,white chocolate bar,6006971
MEX,butter cookies,4042266
MEX,caramel popcorn,1312113
USA,peanut butter pops,1432927
CAN,peanut butter pops,7944278
RUS,chocolate bar,6428999
ARE,dark chocolate bar,4546400
ARE,chocolate cookies,5192577
SAU,lollipops,5191790
IND,chocolate bar,8654275
IND,caramel popcorn,6014973
USA,white chocolate bar,5390477
DEU,chocolate cookies,2443647
ARE,peanut butter pops,6695125
CHN,dark chocolate bar,4525820
BRA,chocolate bar,8087465
ARE,chocolate bar,2437927
BRA,chocolate bar,5916698
RUS,gummy bears,5894238
RUS,white chocolate bar,6333686
MEX,caramel popcorn,6063269
MEX,blueberry bubblegum,1661928
IND,white chocolate bar,5924047
IND,chocolate cookies,8268645
TUR,lollipops,432012
MEX,butter cookies,6123289
MEX,dark chocolate bar,1405922
SAU,peanut butter pops,2343452
FRA,chocolate cookies,5038208
GBR,lollipops,9598025
ARE,blueberry bubblegum,3027717
IND,gummy bears,2923294
TUR,dark chocolate bar,9705543
MEX,caramel popcorn,2666560
CAN,dark chocolate bar,3279063
SAU,peanut butter pops,2782846
ITA,white chocolate bar,7227462
BRA,gummy bears,6022749
SAU,white chocolate bar,3009185
GBR,butter cookies,3314354
TUR,lollipops,6089097
TUR,blueberry bubblegum,5595874
BRA,chocolate bar,5303627
BRA,blueberry bubblegum,7989285
ITA,butter cookies,498004
DEU,blueberry bubblegum,866587
CHN,lollipops,4739891
DEU,caramel popcorn,1773269
SAU,blueberry bubblegum,8941959
ITA,lollipops,8294742
BRA,dark chocolate bar,8814023
BRA,white chocolate bar,9294972
CHN,dark chocolate bar,7688170
DEU,chocolate bar,3391413
BRA,white chocolate bar,5510016
MEX,lollipops,2019791
MEX,chocolate cookies,3415309
USA,caramel popcorn,5232840
IND,blueberry bubblegum,5996145
BRA,chocolate bar,7340414
BRA,peanut butter pops,3184647
DEU,butter cookies,2462999
RUS,gummy bears,8068161
RUS,lollipops,3563635
USA,lollipops,1651397
DEU,gummy bears,4089655
MEX,lollipops,3966195
FRA,white chocolate bar,4754257
USA,butter cookies,6884840
GBR,chocolate cookies,1472997
IND,dark chocolate bar,4005549
CHN,blueberry bubblegum,2151304
RUS,gummy bears,4571521
RUS,blueberry bubblegum,4341014
MEX,chocolate cookies,8455011
BRA,blueberry bubblegum,3079807
BRA,gummy bears,8720083
CHN,peanut butter pops,8604604
IND,white chocolate bar,946511
SAU,white chocolate bar,6093838
TUR,gummy bears,9232053
DEU,gummy bears,5832662
TUR,caramel popcorn,2817780
MEX,gummy bears,7994126
USA,blueberry bubblegum,5836029
ITA,caramel popcorn,5556147
ARE,gummy bears,6558242
IND,peanut butter pops,370350
USA,peanut butter pops,7965452
SAU,chocolate cookies,1101367
ITA,lollipops,230824
CAN,chocolate cookies,7240599
BRA,caramel popcorn,7488622
DEU,peanut butter pops,7700720
CHN,gummy bears,6339831
BRA,dark chocolate bar,2399562
CHN,gummy bears,7910548
ITA,white chocolate bar,9259306
MEX,white chocolate bar,3145085
RUS,gummy bears,4406101
CAN,chocolate cookies,5605713
CHN,peanut butter pops,4563570
CHN,lollipops,3655883
RUS,butter cookies,7250560
ARE,chocolate bar,5193982
RUS,caramel popcorn,8220342
ARE,lollipops,9553336
BRA,dark chocolate bar,4119861
CAN,chocolate cookies,7327737
MEX,peanut butter pops,5415050
USA,blueberry bubblegum,1408124
ARE,caramel popcorn,4566461
IND,blueberry bubblegum,7928598
BRA,butter cookies,8875510
TUR,caramel popcorn,1508559
IND,lollipops,5382834
ITA,chocolate bar,4570203
ITA,caramel popcorn,5949574
MEX,butter cookies,9570813
DEU,chocolate bar,3235248
GBR,chocolate cookies,3400947
BRA,chocolate cookies,5210554
SAU,lollipops,5117603
RUS,chocolate bar,7992174
ITA,dark chocolate bar,1784963
ITA,peanut butter pops,8965237
RUS,dark chocolate bar,7162598
TUR,butter cookies,8413406
SAU,white chocolate bar,3243031
TUR,chocolate cookies,8546763
MEX,butter cookies,5259664
SAU,caramel popcorn,7093865
IND,caramel popcorn,2912410
BRA,caramel popcorn,532045
DEU,chocolate bar,2726852
MEX,lollipops,1912642
CHN,peanut butter pops,3860342
FRA,lollipops,8020293
MEX,chocolate bar,3882340
SAU,chocolate cookies,5936352
FRA,chocolate bar,3026337
CHN,chocolate cookies,8117006
GBR,chocolate cookies,5088209
MEX,white chocolate bar,4116772
DEU,white chocolate bar,8332663
MEX,butter cookies,5744307
USA,caramel popcorn,6255575
FRA,caramel popcorn,1908180
BRA,gummy bears,3501938
USA,chocolate bar,2861942
RUS,butter cookies,2942920
RUS,gummy bears,5052700
FRA,dark chocolate bar,4866930
IND,gummy bears,5534413
CHN,white chocolate bar,9646102
RUS,white chocolate bar,1363737
GBR,butter cookies,2846356
ARE,butter cookies,1418684
USA,blueberry bubblegum,4033647
RUS,chocolate bar,5768588
ITA,blueberry bubblegum,3287505
BRA,butter cookies,7962609
BRA,peanut butter pops,1392822
CAN,gummy bears,3245783
ITA,peanut butter pops,1650902
ITA,white chocolate bar,1042388
TUR,caramel popcorn,6920084
RUS,chocolate bar,1954240
TUR,chocolate cookies,5416600
ARE,lollipops,6178315
FRA,chocolate bar,2472126
USA,dark chocolate bar,8039055
CAN,chocolate cookies,8493629
BRA,dark chocolate bar,8874201
CHN,blueberry bubblegum,1853094
CAN,chocolate bar,9657261
SAU,chocolate bar,2068874
CHN,white chocolate bar,1916659
DEU,caramel popcorn,6465939
ITA,peanut butter pops,1975130
ARE,blueberry bubblegum,7167666
USA,lollipops,618436
BRA,white chocolate bar,9557777
GBR,chocolate cookies,9530589
SAU,butter cookies,9011938
GBR,dark chocolate bar,3849572
ARE,chocolate bar,2347424
ITA,chocolate bar,7739104
CAN,butter cookies,4571238
ARE,blueberry bubblegum,6946547
MEX,chocolate bar,3117173
ITA,peanut butter pops,9935349
CHN,dark chocolate bar,6853143
BRA,gummy bears,5041322
IND,chocolate bar,3202494
FRA,blueberry bubblegum,6462218
IND,dark chocolate bar,8502621
MEX,caramel popcorn,3489892
RUS,butter cookies,249498
GBR,blueberry bubblegum,2531970
CAN,chocolate bar,3432507
GBR,lollipops,5225966
TUR,blueberry bubblegum,2510948
DEU,white chocolate bar,7390331
GBR,peanut butter pops,7827498
ARE,butter cookies,8614686
SAU,lollipops,4286201
SAU,chocolate bar,6946788
USA,blueberry bubblegum,7084489
FRA,butter cookies,8344478
IND,butter cookies,1282659
FRA,white chocolate bar,5886044
BRA,butter cookies,1091119
RUS,dark chocolate bar,8170368
TUR,gummy bears,5101727
CAN,lollipops,6333517
IND,gummy bears,3015260
CHN,chocolate cookies,9037894
IND,chocolate cookies,1568262
DEU,chocolate cookies,3688097
ITA,caramel popcorn,4569109
BRA,chocolate bar,1027733
CHN,lollipops,4048705
FRA,caramel popcorn,9651961
RUS,dark chocolate bar,7776546
CHN,white chocolate bar,5851521
MEX,chocolate bar,7798859
SAU,chocolate cookies,706269
USA,chocolate cookies,2921705
GBR,peanut butter pops,9677264
FRA,peanut butter pops,1044139
TUR,caramel popcorn,2643824
GBR,chocolate bar,8436465
RUS,chocolate bar,4377215
CHN,blueberry bubblegum,1037857
RUS,chocolate cookies,1567667
TUR,white chocolate bar,1336252
CHN,butter cookies,3094234
GBR,chocolate cookies,8718607
ITA,butter cookies,3565724
RUS,chocolate cookies,9682432
ITA,dark chocolate bar,6022545
ARE,peanut butter pops,9463667
TUR,peanut butter pops,2169827
CAN,blueberry bubblegum,1400247
CHN,lollipops,6497820
SAU,lollipops,1694499
ARE,lollipops,4942899
BRA,caramel popcorn,324606
DEU,blueberry bubblegum,4190278
SAU,white chocolate bar,173020
ARE,caramel popcorn,7161859
USA,caramel popcorn,505682
CAN,lollipops,720440
DEU,butter cookies,1517822
SAU,blueberry bubblegum,5837688
DEU,white chocolate bar,8685337
RUS,chocolate cookies,6299190
TUR,white chocolate bar,5308633
BRA,butter cookies,7496651
BRA,white chocolate bar,2006525
IND,butter cookies,1661390
IND,dark chocolate bar,632467
SAU,chocolate bar,2821286
BRA,chocolate bar,7005361
SAU,butter cookies,4370026
TUR,blueberry bubblegum,8774603
CAN,gummy bears,4361259
ITA,dark chocolate bar,1287861
RUS,blueberry bubblegum,8973302
BRA,lollipops,8950801
GBR,lollipops,7555407
BRA,blueberry bubblegum,4630148
FRA,chocolate bar,5563221
GBR,caramel popcorn,8842004
ITA,chocolate bar,3008352
DEU,butter cookies,200367
ITA,white chocolate bar,5133458
CHN,chocolate cookies,9371126
CHN,chocolate cookies,3046997
CAN,blueberry bubblegum,1554367
FRA,chocolate cookies,7450525
IND,chocolate cookies,8297072
MEX,lollipops,2584258
ARE,caramel popcorn,4643911
RUS,chocolate bar,3825806
USA,butter cookies,5738645
CAN,dark chocolate bar,3848335
GBR,caramel popcorn,9260280
CHN,chocolate bar,3697680
DEU,caramel popcorn,812771
TUR,butter cookies,5386921
TUR,peanut butter pops,8634963
SAU,caramel popcorn,6338703
CHN,lollipops,8360630
TUR,dark chocolate bar,5413480
TUR,dark chocolate bar,7572960
MEX,butter cookies,7806747
RUS,gummy bears,4511212
SAU,caramel popcorn,9517902
ARE,blueberry bubblegum,5262433
RUS,butter cookies,8431428
ITA,gummy bears,4308904
USA,lollipops,6243621
USA,gummy bears,3459453
TUR,chocolate cookies,6015188
FRA,white chocolate bar,6176944
GBR,chocolate bar,8917284
ARE,white chocolate bar,8432970
RUS,white chocolate bar,8324744
FRA,lollipops,4196643
ARE,peanut butter pops,3885381
USA,chocolate cookies,9930947
ARE,blueberry bubblegum,555227
ARE,gummy bears,5198634
RUS,lollipops,5888313
CHN,caramel popcorn,1211771
IND,gummy bears,4650615
CAN,gummy bears,8392922
IND,butter cookies,6341426
USA,dark chocolate bar,4425846
BRA,gummy bears,1295523
CHN,lollipops,6334325
MEX,chocolate bar,8339135
GBR,butter cookies,8830571
CAN,dark chocolate bar,676899
TUR,chocolate cookies,4336669
SAU,chocolate bar,7536929
DEU,gummy bears,6907293
ITA,white chocolate bar,777521
DEU,dark chocolate bar,6979172
IND,chocolate bar,3138097
USA,white chocolate bar,2866726
USA,chocolate cookies,1230377
CHN,lollipops,4848493
DEU,peanut butter pops,4308832
RUS,dark chocolate bar,5618378
IND,dark chocolate bar,2261107
IND,chocolate bar,8881011
DEU,caramel popcorn,9500187
USA,peanut butter pops,1879475
ARE,peanut butter pops,3496239
FRA,gummy bears,8350726
ARE,chocolate bar,8704300
CHN,peanut butter pops,3413385
MEX,white chocolate bar,636401
TUR,caramel popcorn,4858723
CHN,blueberry bubblegum,2876560
DEU,chocolate cookies,4442407
ARE,lollipops,9098461
DEU,lollipops,6639980
ARE,dark chocolate bar,1453128
CAN,lollipops,3293698
RUS,butter cookies,8355011
GBR,blueberry bubblegum,6794900
MEX,blueberry bubblegum,8922064
DEU,caramel popcorn,5113389
SAU,chocolate cookies,7613649
CAN,gummy bears,748077
SAU,chocolate cookies,716123
SAU,caramel popcorn,9642269
ARE,lollipops,3536110
FRA,peanut butter pops,4805225
ARE,gummy bears,4315107
ARE,blueberry bubblegum,8020339
FRA,blueberry bubblegum,3171274
ITA,white chocolate bar,8058511
ARE,blueberry bubblegum,2507992
SAU,peanut butter pops,7409255
IND,caramel popcorn,542521
ITA,dark chocolate bar,1436895
SAU,dark chocolate bar,5817242
SAU,caramel popcorn,880482
DEU,caramel popcorn,776656
MEX,chocolate bar,1315148
FRA,butter cookies,2322640
CHN,butter cookies,3437680
CHN,chocolate bar,3918850
FRA,dark chocolate bar,213573
GBR,blueberry bubblegum,6795724
ITA,dark chocolate bar,1741772
ARE,blueberry bubblegum,6463570
TUR,lollipops,9574014
CHN,caramel popcorn,8080901
RUS,butter cookies,1185862
SAU,blueberry bubblegum,7261141
RUS,gummy bears,5069699
DEU,lollipops,6699005
BRA,chocolate cookies,6395645
USA,dark chocolate bar,2023211
CHN,blueberry bubblegum,5006743
GBR,dark chocolate bar,7344844
RUS,butter cookies,9835093
BRA,lollipops,7383371
RUS,caramel popcorn,5761795
IND,peanut butter pops,4975382
USA,dark chocolate bar,9111671
USA,dark chocolate bar,2647321
FRA,peanut butter pops,6205585
MEX,peanut butter pops,5180578
USA,dark chocolate bar,6416427
FRA,chocolate cookies,3793069
IND,peanut butter pops,6801109
BRA,white chocolate bar,1330465
FRA,peanut butter pops,1195737
CAN,gummy bears,8206204
CHN,chocolate cookies,9506038
ARE,chocolate bar,6973626
USA,caramel popcorn,5313902
ARE,blueberry bubblegum,5391846
FRA,chocolate cookies,5168367
GBR,lollipops,1580233
GBR,white chocolate bar,4527573
TUR,caramel popcorn,7243525
ITA,caramel popcorn,9252314
CAN,dark chocolate bar,8116820
CAN,chocolate bar,7069143
RUS,gummy bears,3529169
SAU,gummy bears,7620052
DEU,dark chocolate bar,9703122
RUS,butter cookies,3360931
TUR,chocolate cookies,4092520
GBR,caramel popcorn,2264361
ARE,lollipops,2372441
GBR,blueberry bubblegum,4644819
SAU,lollipops,1242002
GBR,blueberry bubblegum,3064957
ITA,butter cookies,3119745
CAN,chocolate bar,3490845
ITA,lollipops,5379171
BRA,white chocolate bar,7563239
BRA,chocolate bar,8412679
DEU,lollipops,4048081
CHN,dark chocolate bar,739308
DEU,butter cookies,6376303
DEU,butter cookies,9016380
ITA,gummy bears,7748457
IND,dark chocolate bar,5176984
MEX,peanut butter pops,5715904
FRA,blueberry bubblegum,3927115
TUR,chocolate cookies,371669
CAN,chocolate cookies,8176308
GBR,chocolate cookies,3856105
TUR,blueberry bubblegum,3232687
ARE,butter cookies,340619
RUS,gummy bears,2590823
TUR,dark chocolate bar,6675783
ITA,white chocolate bar,6169787
IND,butter cookies,6841002
ITA,peanut butter pops,1234749
IND,blueberry bubblegum,132903
CAN,lollipops,3958145
TUR,butter cookies,8897197
TUR,butter cookies,2048037
IND,butter cookies,8363943
SAU,blueberry bubblegum,3089294
USA,butter cookies,2318189
DEU,blueberry bubblegum,522054
RUS,chocolate bar,6611194
ARE,chocolate bar,3150062
IND,blueberry bubblegum,2702423
CAN,peanut butter pops,2372686
DEU,chocolate bar,9317408
MEX,lollipops,9915213
CAN,chocolate cookies,9269149
ITA,chocolate cookies,6387599
ARE,dark chocolate bar,2094081
USA,peanut butter pops,8963050
ARE,peanut butter pops,4585224
TUR,peanut butter pops,351293
CHN,white chocolate bar,6610435
USA,chocolate bar,6841143
CHN,dark chocolate bar,5288746
ARE,white chocolate bar,6051650
DEU,dark chocolate bar,2287264
MEX,chocolate bar,7663466
ITA,dark chocolate bar,8163549
RUS,butter cookies,9473289
ITA,blueberry bubblegum,8259416
IND,butter cookies,2892975
BRA,white chocolate bar,2069934
BRA,chocolate bar,9090213
RUS,white chocolate bar,9459818
ITA,butter cookies,971789
MEX,white chocolate bar,1228419
CAN,blueberry bubblegum,7141133
GBR,caramel popcorn,6645748
SAU,chocolate cookies,240803
USA,blueberry bubblegum,2525486
ITA,chocolate cookies,8206579
TUR,chocolate bar,8309950
CAN,peanut butter pops,2191057
GBR,white chocolate bar,2361501
CHN,white chocolate bar,5843235
SAU,lollipops,7820261
USA,white chocolate bar,2045097
TUR,chocolate bar,5530254
CAN,dark chocolate bar,4822600
GBR,dark chocolate bar,9652258
CHN,blueberry bubblegum,7201091
USA,white chocolate bar,7744026
CHN,blueberry bubblegum,8432342
MEX,peanut butter pops,7221592
SAU,gummy bears,1510106
GBR,blueberry bubblegum,3344754
SAU,lollipops,818100
BRA,lollipops,9325379
USA,gummy bears,4159708
FRA,blueberry bubblegum,7935052
CHN,chocolate bar,5971796
CAN,peanut butter pops,7762858
RUS,lollipops,8763514
CHN,blueberry bubblegum,4127897
BRA,caramel popcorn,8266261
CHN,butter cookies,2776464
USA,blueberry bubblegum,5096450
TUR,peanut butter pops,833855
GBR,chocolate bar,8869221
CHN,butter cookies,7193248
FRA,dark chocolate bar,1484149
DEU,chocolate cookies,3866254
IND,dark chocolate bar,2801482
SAU,white chocolate bar,9812740
BRA,chocolate bar,9473793
ITA,gummy bears,2257720
CAN,lollipops,5158290
ITA,butter cookies,3102391
MEX,peanut butter pops,3733736
ITA,peanut butter pops,1563456
CAN,lollipops,3844366
CHN,gummy bears,5959295
ITA,peanut butter pops,2329492
TUR,lollipops,4565108
ARE,peanut butter pops,6659286
MEX,caramel popcorn,430002
MEX,lollipops,4095738
IND,blueberry bubblegum,9482607
DEU,gummy bears,5513257
FRA,lollipops,753585
MEX,blueberry bubblegum,5112046
ITA,chocolate cookies,1320980
CHN,chocolate bar,4546691
SAU,lollipops,2940661
USA,peanut butter pops,7983946
USA,chocolate bar,7073772
CHN,gummy bears,141582
IND,lollipops,6956746
FRA,white chocolate bar,9134198
GBR,chocolate cookies,3974066
SAU,chocolate cookies,3959633
ARE,chocolate cookies,7235016
SAU,caramel popcorn,4202048
DEU,blueberry bubblegum,1097360
ARE,white chocolate bar,7532475
IND,caramel popcorn,8379666
IND,chocolate bar,2759773
SAU,peanut butter pops,5658002
DEU,chocolate cookies,1884361
USA,dark chocolate bar,1901628
BRA,chocolate cookies,4942223
IND,gummy bears,8391720
MEX,chocolate bar,7704046
RUS,butter cookies,7409725
CHN,lollipops,4894710
BRA,chocolate bar,7300153
TUR,dark chocolate bar,1460391
CAN,chocolate cookies,2372417
ARE,peanut butter pops,5395957
ARE,caramel popcorn,154973
ARE,chocolate cookies,3115862
FRA,chocolate bar,119727
SAU,chocolate bar,6794996
RUS,peanut butter pops,6037131
ITA,dark chocolate bar,5107217
ARE,dark chocolate bar,653243
CHN,peanut butter pops,7780989
BRA,lollipops,2340391
GBR,white chocolate bar,7801349
SAU,gummy bears,7858365
ARE,dark chocolate bar,5422874
IND,butter cookies,7947881
GBR,gummy bears,2725983
FRA,lollipops,3154887
TUR,butter cookies,3990507
ITA,caramel popcorn,1251229
TUR,dark chocolate bar,5181850
GBR,caramel popcorn,9713067
MEX,butter cookies,595191
CHN,chocolate cookies,8125865
FRA,butter cookies,1554374
FRA,chocolate bar,1815039
ARE,peanut butter pops,335119
ITA,blueberry bubblegum,2049699
IND,white chocolate bar,7388097
IND,white chocolate bar,5024422
USA,lollipops,1013448
GBR,white chocolate bar,2801753
FRA,blueberry bubblegum,7004549
RUS,caramel popcorn,836591
DEU,butter cookies,9325063
CHN,gummy bears,6680220
SAU,chocolate cookies,9857068
SAU,butter cookies,5848340
CAN,dark chocolate bar,702912
CHN,lollipops,7308808
FRA,blueberry bubblegum,2497621
TUR,caramel popcorn,7796514
CAN,white chocolate bar,8929166
MEX,chocolate cookies,4223032
IND,peanut butter pops,2576318
ITA,chocolate cookies,6845886
USA,chocolate cookies,6385091
FRA,blueberry bubblegum,434845
IND,gummy bears,755268
CAN,lollipops,5195806
TUR,white chocolate bar,8594120
CHN,chocolate cookies,7082108
MEX,blueberry bubblegum,9800850
SAU,chocolate bar,2976587
BRA,gummy bears,5050521
SAU,dark chocolate bar,4733206
SAU,chocolate bar,223619
IND,blueberry bubblegum,7996272
CHN,gummy bears,2974570
CHN,butter cookies,9224913
FRA,dark chocolate bar,108107
IND,lollipops,7677028
ARE,chocolate cookies,6566560
TUR,dark chocolate bar,8221726
TUR,dark chocolate bar,1462791
SAU,chocolate bar,8544368
ITA,dark chocolate bar,6169353
CAN,dark chocolate bar,1499293
IND,butter cookies,1439790
CAN,dark chocolate bar,8432660
ITA,lollipops,4073230
ITA,butter cookies,3991890
SAU,white chocolate bar,3226301
DEU,peanut butter pops,2085945
GBR,chocolate bar,9597400
FRA,dark chocolate bar,3226507
ARE,butter cookies,6751922
ITA,gummy bears,7867705
GBR,caramel popcorn,7966278
SAU,butter cookies,1368181
SAU,peanut butter pops,5566535
FRA,caramel popcorn,7903765
USA,white chocolate bar,9452772
MEX,lollipops,5104496
FRA,gummy bears,8781183
IND,caramel popcorn,213897
GBR,butter cookies,2410586
BRA,chocolate bar,5201780
ITA,blueberry bubblegum,8948580
IND,peanut butter pops,8830716
BRA,butter cookies,7504071
USA,dark chocolate bar,7121030
CHN,caramel popcorn,4785788
MEX,gummy bears,5986605
BRA,caramel popcorn,5780370
IND,peanut butter pops,8091961
GBR,gummy bears,7730018
SAU,butter cookies,6273362
ARE,peanut butter pops,7031645
GBR,lollipops,4161984
CAN,lollipops,8659379
TUR,caramel popcorn,2667953
IND,gummy bears,5023583
FRA,chocolate cookies,6925054
ITA,dark chocolate bar,415458
MEX,chocolate cookies,9877479
CAN,gummy bears,8919463
SAU,caramel popcorn,3246776
DEU,butter cookies,4642920
MEX,gummy bears,3146868
RUS,caramel popcorn,3033208
ITA,caramel popcorn,2410184
IND,chocolate bar,8323803
TUR,chocolate cookies,1610456
ARE,dark chocolate bar,4036433
RUS,lollipops,4969309
IND,chocolate bar,4105203
SAU,caramel popcorn,7576434
ARE,butter cookies,392310
BRA,caramel popcorn,6896613
GBR,caramel popcorn,8449335
ARE,gummy bears,9600906
RUS,gummy bears,482413
SAU,butter cookies,450982
SAU,chocolate bar,5941117
SAU,chocolate bar,7687549
DEU,butter cookies,2895504
IND,white chocolate bar,9813797
SAU,white chocolate bar,170905
DEU,caramel popcorn,6374463
FRA,dark chocolate bar,6727452
DEU,gummy bears,2263243
MEX,peanut butter pops,572053
BRA,dark chocolate bar,2052412
SAU,lollipops,2114547
GBR,chocolate bar,8928543
RUS,blueberry bubblegum,5878239
FRA,blueberry bubblegum,4119101
ITA,chocolate cookies,1593720
RUS,caramel popcorn,1442135
RUS,chocolate cookies,1275081
ITA,white chocolate bar,1703483
FRA,white chocolate bar,331051
TUR,butter cookies,3935979
USA,white chocolate bar,3948950
IND,dark chocolate bar,1050928
TUR,chocolate cookies,6604051
USA,gummy bears,9729859
FRA,white chocolate bar,1541331
MEX,butter cookies,5865854
BRA,gummy bears,9553242
GBR,chocolate cookies,3184991
USA,white chocolate bar,2416773
CHN,gummy bears,7396047
ITA,chocolate cookies,919591
ITA,peanut butter pops,2433218
ITA,butter cookies,7476304
RUS,peanut butter pops,6556072
TUR,blueberry bubblegum,1350461
RUS,white chocolate bar,4296761
BRA,butter cookies,9150419
RUS,chocolate bar,7377010
IND,butter cookies,9932290
TUR,caramel popcorn,2391714
SAU,caramel popcorn,3280941
USA,gummy bears,5080229
MEX,lollipops,6038032
TUR,gummy bears,1691451
ITA,blueberry bubblegum,5285383
DEU,lollipops,7952843
USA,peanut butter pops,6758452
CAN,white chocolate bar,378316
SAU,butter cookies,3775640
DEU,lollipops,3499932
BRA,blueberry bubblegum,3226405
USA,chocolate bar,2671642
SAU,peanut butter pops,6916136
USA,lollipops,4246739
SAU,gummy bears,2455905
ARE,peanut butter pops,5526162
CHN,blueberry bubblegum,3723932
FRA,white chocolate bar,6936321
BRA,white chocolate bar,5032631
RUS,chocolate cookies,2767796
USA,butter cookies,816074
DEU,butter cookies,3085583
RUS,chocolate bar,1544097
FRA,lollipops,1446550
MEX,peanut butter pops,4279586
CAN,lollipops,7305791
BRA,chocolate cookies,5863643
GBR,lollipops,533044
GBR,chocolate cookies,2699952
BRA,lollipops,6172955
SAU,blueberry bubblegum,853271
CAN,white chocolate bar,7292194
IND,blueberry bubblegum,8114043
ARE,gummy bears,8846710
TUR,dark chocolate bar,2043289
IND,blueberry bubblegum,2277344
ARE,lollipops,3289422
DEU,peanut butter pops,2723482
FRA,peanut butter pops,9442666
FRA,gummy bears,722676
CAN,gummy bears,9561285
IND,chocolate cookies,6440860
ARE,white chocolate bar,4712715
CHN,peanut butter pops,1308079
ARE,lollipops,3713823
IND,peanut butter pops,5615382
SAU,chocolate cookies,4057512
ARE,chocolate cookies,1594400
RUS,peanut butter pops,911437
FRA,peanut butter pops,4988389
TUR,lollipops,3513870
USA,lollipops,9576305
CHN,white chocolate bar,6680566
BRA,blueberry bubblegum,4636711
CHN,chocolate bar,8505450
SAU,peanut butter pops,4759673
DEU,caramel popcorn,1081310
FRA,peanut butter pops,7550260
FRA,blueberry bubblegum,9537888
FRA,peanut butter pops,9741670
DEU,peanut butter pops,8695721
TUR,chocolate bar,4996108
ARE,caramel popcorn,3386904
ITA,gummy bears,5266996
SAU,gummy bears,628666
FRA,lollipops,5119801
FRA,gummy bears,3841650
TUR,butter cookies,8698075
CHN,chocolate cookies,9742149
DEU,gummy bears,5206532
DEU,gummy bears,312689
GBR,caramel popcorn,9286463
MEX,gummy bears,978222
FRA,caramel popcorn,2887549
CAN,chocolate cookies,781348
SAU,blueberry bubblegum,3773436
CHN,butter cookies,1221677
BRA,chocolate bar,9469612
MEX,butter cookies,9371313
GBR,white chocolate bar,7349860
RUS,dark chocolate bar,6493468
FRA,white chocolate bar,3167754
BRA,dark chocolate bar,3345592
CAN,chocolate cookies,8713323
CHN,lollipops,5007238
TUR,chocolate bar,9487878
ARE,chocolate bar,518782
GBR,dark chocolate bar,1894467
IND,dark chocolate bar,4725446
MEX,caramel popcorn,8837758
IND,chocolate cookies,3947711
BRA,butter cookies,4440312
USA,butter cookies,2077761
DEU,caramel popcorn,5779983
TUR,chocolate bar,5664218
SAU,lollipops,9977541
ARE,gummy bears,7380114
SAU,blueberry bubblegum,281075
GBR,gummy bears,9272324
ARE,chocolate bar,7847249
USA,lollipops,6261551
CAN,chocolate cookies,3234439
CHN,lollipops,4187612
FRA,chocolate bar,806958
TUR,blueberry bubblegum,2725283
RUS,dark chocolate bar,6940945
IND,blueberry bubblegum,8634161
FRA,peanut butter pops,7000551
IND,caramel popcorn,9069490
MEX,butter cookies,9940025
IND,butter cookies,2778252
ITA,peanut butter pops,5981127
GBR,peanut butter pops,1067338
GBR,blueberry bubblegum,1363111
CAN,caramel popcorn,1752164
SAU,white chocolate bar,7378871
IND,blueberry bubblegum,5282315
FRA,white chocolate bar,9569180
RUS,peanut butter pops,8144907
SAU,gummy bears,6246332
SAU,lollipops,9584613
CAN,chocolate bar,9409789
CAN,white chocolate bar,4322525
